City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,menongue,-14.6585,17.691,17.48,91,39,1.58,AO,1745435351
321,vadso,70.0744,29.7487,-3.91,86,40,6.17,NO,1745435507
322,la ronge,55.1001,-105.2842,12.14,37,75,4.63,CA,1745435508
323,tshabong,-26.05,22.45,18.35,37,0,4.17,BW,1745435509
324,mersing,2.4312,103.8405,24.93,93,95,1.48,MY,1745435511
325,tezu,27.9167,96.1667,19.16,94,100,2.38,IN,1745435512
326,kapuskasing,49.4169,-82.4331,11.0,40,100,0.51,CA,1745435513
327,sogndal,61.2283,7.1003,12.21,57,20,2.06,NO,1745435514
328,katsuren-haebaru,26.3369,127.8719,21.01,78,0,0.0,JP,1745435515
329,itapipoca,-3.4944,-39.5786,25.86,91,100,1.95,BR,1745435516
330,plouzane,48.3833,-4.6167,12.03,93,100,5.14,FR,1745435517
331,salekhard,66.53,66.6019,-6.05,85,100,5.73,RU,1745435518
332,howard springs,-12.497,131.047,21.95,81,30,2.75,AU,1745435520
333,sao jose da coroa grande,-8.8978,-35.1478,28.8,70,64,4.03,BR,1745435521
334,minas de marcona,-15.2119,-75.1103,21.19,54,2,8.88,PE,1745435522
335,pariaman,-0.619,100.12,25.03,92,35,2.02,ID,1745435523
336,selkirk,50.1436,-96.8845,4.27,87,100,5.75,CA,1745435524
337,upington,-28.4478,21.2561,14.21,72,5,3.09,ZA,1745435525
338,lodja,-3.4833,23.4333,20.29,99,100,0.83,CD,1745435526
339,queenstown,-31.8976,26.8753,12.39,93,100,1.55,ZA,1745435528
340,salalah,17.0151,54.0924,28.05,78,0,1.03,OM,1745435324
341,reedsburg,43.5325,-90.0026,22.19,49,40,5.66,US,1745435530
342,prince george,53.9166,-122.753,10.72,52,86,0.89,CA,1745435531
343,betio village,1.358,172.9211,27.49,82,54,6.21,KI,1745435532
344,port lincoln,-34.7333,135.8667,15.03,77,5,3.01,AU,1745435533
345,linxia chengguanzhen,35.6003,103.2064,8.88,32,99,0.64,CN,1745435535
346,ad dilam,23.9915,47.1627,30.59,11,0,3.55,SA,1745435536
347,kauhajoki,62.4333,22.1833,0.06,70,12,2.69,FI,1745435537
348,macapa,0.0389,-51.0664,29.99,79,75,6.17,BR,1745435423
349,timbuktu,16.7735,-3.0074,37.77,4,100,4.9,ML,1745435541
350,alice springs,-23.7,133.8833,7.75,87,0,2.57,AU,1745435542
351,kamaishi,39.2667,141.8833,10.4,94,100,4.11,JP,1745435544
352,san jose,37.3394,-121.895,19.18,53,20,1.54,US,1745435400
353,gazojak,41.1875,61.4036,22.63,19,3,4.61,TM,1745435546
354,labrador city,52.9463,-66.9114,3.15,81,100,2.69,CA,1745435547
355,taroa,8.7058,171.2275,27.27,79,100,6.85,MH,1745435548
356,gadzhiyevo,69.2551,33.3362,-1.18,70,99,7.76,RU,1745435549
357,udachny,66.4167,112.4,-17.12,98,100,2.48,RU,1745435550
358,kelibia,36.8476,11.0939,15.9,80,1,9.36,TN,1745435552
